"","Category","Title","VideoID","Readable_Duration","Video_URL"
"PT4M29S","communication","The Cardigans - Communication (Animated Video)","_wu1V30YLro","04:29","https://www.youtube.com/watch?v=_wu1V30YLro"
"PT58M20S","communication","Think Fast, Talk Smart: Communication Techniques","HAnw168huqA","58:20","https://www.youtube.com/watch?v=HAnw168huqA"
"PT10M57S","communication","It&#39;s Not Manipulation, It&#39;s Strategic Communication | Keisha Brewer | TEDxGeorgetown","QGeHS4jO0X0","10:57","https://www.youtube.com/watch?v=QGeHS4jO0X0"
"PT12M8S","communication","The Art of Effective Communication | Marcus Alexander Velazquez | TEDxWolcottSchool","2Yw6dFQBklA","12:08","https://www.youtube.com/watch?v=2Yw6dFQBklA"
"PT22M24S","communication","Aristotle - 5 Ways To Communicate Effectively (Aristotelianism)","b3_vl0_QYNk","22:24","https://www.youtube.com/watch?v=b3_vl0_QYNk"
"PT11M","communication","TOP 3 Tips To Improve Your Communication Skills!","LsyfrGnBL4c","11:00","https://www.youtube.com/watch?v=LsyfrGnBL4c"
"PT6M12S","communication","Communication - Basics and Importance","2Lkb7OSRdGE","06:12","https://www.youtube.com/watch?v=2Lkb7OSRdGE"
"PT58M11S","communication","Coffee Talk @OUM - Communication &amp; Social Media - Walking the Tightrope of Right and Wrong","RB-Mu8WprVQ","58:11","https://www.youtube.com/watch?v=RB-Mu8WprVQ"
"PT3M59S","communication","Arin Ray - Communication ft. DRAM (Official Video)","FCDc34wAdJw","03:59","https://www.youtube.com/watch?v=FCDc34wAdJw"
"1","project management","Intro to Project Management | Google Project Management Certificate","rck3MnC7OXA","07:33","https://www.youtube.com/watch?v=rck3MnC7OXA"
"2","project management","Project Management Simplified: Learn The Fundamentals of PMI&#39;s Framework ✓","ZKOL-rZ79gs","50:41","https://www.youtube.com/watch?v=ZKOL-rZ79gs"
"3","project management","Project Management Full Course In 8 Hours | Project Management Training | Simplilearn","uWPIsaYpY7U","08:06:06","https://www.youtube.com/watch?v=uWPIsaYpY7U"
"4","project management","How to Become Project Manager? | Roadmap to Become a Project Manager in 2023 | Simplilearn","m7G8V9gM3e0","12:59","https://www.youtube.com/watch?v=m7G8V9gM3e0"
"5","project management","PROJECT MANAGER Interview Questions &amp; ANSWERS! (How to PASS a Project Management Job Interview!)","vCkpCylPc4A","14:45","https://www.youtube.com/watch?v=vCkpCylPc4A"
"6","project management","Project Management Basics [QUICK GUIDE]","XuyCeYYod_s","04:56","https://www.youtube.com/watch?v=XuyCeYYod_s"
"7","project management","A sixth sense for project management | Tres Roeder | TEDxCWRU","3zqwlr8sp2Y","15:40","https://www.youtube.com/watch?v=3zqwlr8sp2Y"
"8","project management","The Complete Project Management Body of Knowledge in One Video (PMBOK 7th Edition)","2gmCr40uT4U","01:01:21","https://www.youtube.com/watch?v=2gmCr40uT4U"
"9","project management","A day in the life of a Project Manager | Work from home edition","bmDyVsQEs30","14:45","https://www.youtube.com/watch?v=bmDyVsQEs30"
"10","project management","A Day in the Life of a Project Manager | Indeed","AzQ3Xso7sLA","08:31","https://www.youtube.com/watch?v=AzQ3Xso7sLA"
"PT8M24S","requirement gathering","Requirement Gathering Techniques For A Business Analyst","8EBWxW5Cn1g","08:24","https://www.youtube.com/watch?v=8EBWxW5Cn1g"
"PT4M6S","requirement gathering","Software Requirement Gathering","SS3k1X6r7s0","04:06","https://www.youtube.com/watch?v=SS3k1X6r7s0"
"PT12M19S","requirement gathering","Business Analyst Requirement Gathering | Requirement Gathering in Business Analysis | Simplilearn","qZ8AtqJijrw","12:19","https://www.youtube.com/watch?v=qZ8AtqJijrw"
"PT15M17S","requirement gathering","7 Steps for Better Requirement Gathering | Elicitation Made Easy","oOgrRUcLyew","15:17","https://www.youtube.com/watch?v=oOgrRUcLyew"
"PT9M56S","requirement gathering","How to Gather Project Requirements","WrPmccFpdaU","09:56","https://www.youtube.com/watch?v=WrPmccFpdaU"
"PT12M8S1","requirement gathering","Business Analyst Training: How To Do Requirements Gathering?","0zjQHrkZ_70","12:08","https://www.youtube.com/watch?v=0zjQHrkZ_70"
"PT22M43S","requirement gathering","How To Gather Requirements | Agile Methodology","0ZQdSzi1c_g","22:43","https://www.youtube.com/watch?v=0ZQdSzi1c_g"
"PT7M","requirement gathering","How I Conduct A Requirements Gathering Interview As A Business Analyst","iIAbSOvf96E","07:00","https://www.youtube.com/watch?v=iIAbSOvf96E"
"PT9M54S","requirement gathering","Requirements Gathering | Workshop - Gather Requirements in 12 Steps [EP2]","6J-_0PCkNfE","09:54","https://www.youtube.com/watch?v=6J-_0PCkNfE"
"PT11M30S","requirement gathering","Requirements Gathering Techniques &amp; Template | TeamGantt","5idGzKLf-W8","11:30","https://www.youtube.com/watch?v=5idGzKLf-W8"
"PT9M32S","planning","A Plan Is Not a Strategy","iuYlGRnC7J8","09:32","https://www.youtube.com/watch?v=iuYlGRnC7J8"
"PT7M38S","planning","How to Create an Effective Action Plan | Brian Tracy","haRCpUOCG_M","07:38","https://www.youtube.com/watch?v=haRCpUOCG_M"
"PT8M7S","planning","How to Plan Your Week Effectively","jozNEpY8iik","08:07","https://www.youtube.com/watch?v=jozNEpY8iik"
"PT2M16S","planning","Simon Sinek: What the Military Teaches About the Importance of Planning","oQ238gb64wA","02:16","https://www.youtube.com/watch?v=oQ238gb64wA"
"PT16M49S","planning","How to Plan Your Week | effective &amp; balanced productivity system","C4AzJ7Xc7rA","16:49","https://www.youtube.com/watch?v=C4AzJ7Xc7rA"
"PT17M21S","planning","How planning can help with anxiety, boundaries, and play","oB2F74HNheA","17:21","https://www.youtube.com/watch?v=oB2F74HNheA"
"PT9M40S","planning","POWER OF PLANNING - Best Motivational Speech By Myles Munroe","SVxgJe1wlLI","09:40","https://www.youtube.com/watch?v=SVxgJe1wlLI"
"PT21M37S","planning","Finding YOUR Functional Planning Style | Tips for Experimenting","pmI2fEUUGcw","21:37","https://www.youtube.com/watch?v=pmI2fEUUGcw"
"PT10M4S","planning","My 4-Step Weekly Planning Routine","Js1sgIdCDes","10:04","https://www.youtube.com/watch?v=Js1sgIdCDes"
"PT23M2S","planning","Planning | Chapter 4 | Business Studies | Class 12 | Part 1","J1BrdWEr3L8","23:02","https://www.youtube.com/watch?v=J1BrdWEr3L8"
"PT27M45S","scheduling","What I learnt after 3000 days of scheduling","2ZS5Ek0PtcI","27:45","https://www.youtube.com/watch?v=2ZS5Ek0PtcI"
"PT11M19S","scheduling","Process Scheduling","2h3eWaPx8SA","11:19","https://www.youtube.com/watch?v=2h3eWaPx8SA"
"PT6M35S","scheduling","MAKE A DAMN SCHEDULE - Powerful Motivational Video | Jordan Peterson","bCMkhCV2HWE","06:35","https://www.youtube.com/watch?v=bCMkhCV2HWE"
"PT4M4S","scheduling","Habits: The Strategy of Scheduling","sJzTe8YHYzg","04:04","https://www.youtube.com/watch?v=sJzTe8YHYzg"
"PT19M2S","scheduling","How I Manage My Time - The Trident Calendar System","6o2tm00Ar8A","19:02","https://www.youtube.com/watch?v=6o2tm00Ar8A"
"PT18M50S","scheduling","First Come First Served Scheduling (Solved Problem 1)","VSMAjMfJ6KQ","18:50","https://www.youtube.com/watch?v=VSMAjMfJ6KQ"
"PT6M57S","scheduling","Project Scheduling - PERT/CPM | Finding Critical Path","-TDh-5n90vk","06:57","https://www.youtube.com/watch?v=-TDh-5n90vk"
